Date,Open,High,Low,Close,Adj Close,Volume,ndx_ma1,ndx_ma2,ndx_ma3,ndx_ma4,ndx_ma5,ndx_ma6,ndx_ma7,ndx_ma8,ndx_ma9,ndx_ma10,ndx_ma14,ndx_ma21,ndx_ma28
2020-05-28,9416.7099609375,9416.7099609375,9416.7099609375,9416.7099609375,9416.7099609375,0,9416.7099609375,9429.3798828125,9416.246744791666,9415.6826171875,9408.144140625,9420.956705729166,9403.46861049107,9394.526245117188,9367.649956597223,9330.89296875,9271.931431361607,9136.04282924107,9016.954973493304
2020-05-29,9555.51953125,9555.51953125,9555.51953125,9555.51953125,9555.51953125,0,9555.51953125,9486.11474609375,9471.426432291666,9451.06494140625,9443.65,9432.706705729166,9440.179966517857,9422.474975585938,9412.414388020834,9386.4369140625,9312.692801339286,9172.65806361607,9051.36781529018
2020-06-01,9598.8896484375,9598.8896484375,9598.8896484375,9598.8896484375,9598.8896484375,0,9598.8896484375,9577.20458984375,9523.706380208334,9503.292236328125,9480.6298828125,9469.523274739584,9456.44712611607,9460.018676757812,9442.076605902777,9431.0619140625,9348.19349888393,9208.90708705357,9081.405657087054
2020-06-02,9657.3095703125,9657.3095703125,9657.3095703125,9657.3095703125,9657.3095703125,0,9657.3095703125,9628.099609375,9603.90625,9557.107177734375,9534.095703125,9510.076497395834,9496.349888392857,9481.554931640625,9481.939887152777,9463.59990234375,9373.792759486607,9255.55994233631,9110.86635044643
2020-06-03,9704.6904296875,9704.6904296875,9704.6904296875,9704.6904296875,9704.6904296875,0,9704.6904296875,9681.0,9653.6298828125,9629.102294921875,9586.623828125,9562.528157552084,9537.878487723214,9522.392456054688,9506.347764756945,9504.21494140625,9416.095633370536,9289.937593005952,9145.801374162946
2020-06-04,9629.66015625,9629.66015625,9629.66015625,9629.66015625,9629.66015625,0,9629.66015625,9667.17529296875,9663.88671875,9647.637451171875,9629.2138671875,9593.796549479166,9572.118443080357,9549.351196289062,9534.311089409723,9518.67900390625,9461.065638950893,9319.897135416666,9189.610665457589
2020-06-05,9824.3896484375,9824.3896484375,9824.3896484375,9824.3896484375,9824.3896484375,0,9824.3896484375,9727.02490234375,9719.580078125,9704.012451171875,9682.987890625,9661.7431640625,9626.73842075893,9603.65234375,9579.911024305555,9563.3189453125,9509.047781808036,9367.053292410714,9231.030657087054
2020-06-08,9901.51953125,9901.51953125,9901.51953125,9901.51953125,9901.51953125,0,9901.51953125,9862.95458984375,9785.189778645834,9765.06494140625,9743.5138671875,9719.409830729166,9695.99693080357,9661.086059570312,9636.748697916666,9612.071875,9549.73277064732,9413.286597842261,9276.031354631696
2020-06-09,9967.169921875,9967.169921875,9967.169921875,9967.169921875,9967.169921875,0,9967.169921875,9934.3447265625,9897.693033854166,9830.684814453125,9805.4859375,9780.789876302084,9754.804129464286,9729.8935546875,9695.095377604166,9669.7908203125,9597.49204799107,9460.063244047618,9318.194580078125
2020-06-10,10094.2998046875,10094.2998046875,10094.2998046875,10094.2998046875,10094.2998046875,0,10094.2998046875,10030.73486328125,9987.6630859375,9946.8447265625,9883.4078125,9853.62158203125,9825.57700892857,9797.241088867188,9770.383138020834,9735.0158203125,9641.01206752232,9507.321335565477,9363.07456752232
2020-06-11,9588.48046875,9588.48046875,9588.48046875,9588.48046875,9588.48046875,0,9588.48046875,9841.39013671875,9883.316731770834,9887.867431640625,9875.171875,9834.253255208334,9815.74428013393,9795.93994140625,9774.045464409723,9752.19287109375,9656.047084263393,9521.109933035714,9395.606026785714
2020-06-12,9663.76953125,9663.76953125,9663.76953125,9663.76953125,9663.76953125,0,9663.76953125,9626.125,9782.183268229166,9828.429931640625,9843.0478515625,9839.938151041666,9809.8984375,9796.747436523438,9781.254340277777,9763.01787109375,9673.888462611607,9547.363234747023,9419.927804129464
2020-06-15,9776.8896484375,9776.8896484375,9776.8896484375,9776.8896484375,9776.8896484375,0,9776.8896484375,9720.32958984375,9676.3798828125,9780.85986328125,9818.121875,9832.021484375,9830.931222098214,9805.772338867188,9794.541015625,9780.81787109375,9701.524832589286,9584.354166666666,9447.655657087054
2020-06-16,9949.3701171875,9949.3701171875,9949.3701171875,9949.3701171875,9949.3701171875,0,9949.3701171875,9863.1298828125,9796.676432291666,9744.62744140625,9814.5619140625,9839.99658203125,9848.785574776786,9845.736083984375,9821.727647569445,9810.02392578125,9737.761997767857,9622.293712797618,9487.486363002232
2020-06-17,9982.48046875,9982.48046875,9982.48046875,9982.48046875,9982.48046875,0,9982.48046875,9965.92529296875,9902.913411458334,9843.12744140625,9792.198046875,9842.54833984375,9860.35142299107,9865.497436523438,9860.929904513889,9837.8029296875,9778.17417689732,9653.27232142857,9525.052804129464
2020-06-18,10012.0,10012.0,10012.0,10012.0,10012.0,0,10012.0,9997.240234375,9981.283528645834,9930.18505859375,9876.901953125,9828.831705729166,9866.75571986607,9879.307495117188,9881.775499131945,9876.0369140625,9810.77992466518,9687.246605282739,9561.736363002232
2020-06-19,10008.599609375,10008.599609375,10008.599609375,10008.599609375,10008.599609375,0,10008.599609375,10010.2998046875,10001.026692708334,9988.112548828125,9945.86796875,9898.8515625,9854.51283482143,9884.486206054688,9893.673285590277,9894.45791015625,9840.044921875,9712.178989955357,9594.119210379464
2020-06-22,10130.2998046875,10130.2998046875,10130.2998046875,10130.2998046875,10130.2998046875,0,10130.2998046875,10069.44970703125,10050.2998046875,10033.344970703125,10016.55,9976.606608072916,9931.915597098214,9888.986206054688,9911.798828125,9917.3359375,9873.82993861607,9748.003255208334,9623.811349051339
